objectid,filename,youtubeid,vimeoid,title,creator,date ,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll016,visual_arts_006.jpg,,,Batok,Ifugao; CCP Encyclopedia ,,"Batok – male practice of tattoing, commonly done on the chest, shoulders, and arms. Designs include: Tinagu (Man) drawn on the chest; Kinahu (Dog) on the chest and cheeks; Ginawang (Eagle) on the chest and shoulders; Ginayaman (Centipede) anywhere; Kinalat (lightning) on the chest, shoulders, lower chest; Pongo (bracelet)",Tattoo,Ifugao,16.84124178,121.2396641,CCP Encyclopedia; https://www.larskrutak.com/return-of-the-headhunters-the-philippine-tattoo-revival/,,Image;StilliImage,image/jpg,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll017,agriculture_001.jpg,,,Luhung at al'u or Lalu,Ifugao; National Museum of the Philippines,,"The mortar and petle are among the basic equipment for rice preparation, particularly in pounding palay (rice grains) to separate and remove the hulls",mortar and pestle; wood,Ifugao,16.84124178,121.2396641,National Museum of the Philippines,,Image;StillImage,image/jpeg,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll018,games_and_hobbies_001.png,,,Tabayag,Ifugao; National Museum of the Philippines,,Container of lime for betel chew,container; wood; rattan; bamboo; lime,"Banaue, Ifugao",16.95111,121.1027,National Museum of the Philippines,,Image;StillImage,image/jpeg,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll019,ritual_objects_001.png,,,Bulul,Ifugao; National Museum of the Philippines,,Bulul are anthropomorphic wood carvings of the granary deities of the Ifugao and were believed to provide wealth to their owners if treated with respect.,granary deity; wood,Ifugao,16.84124178,121.2396641,National Museum of the Philippines,,Image;StillImage,image/jpeg,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll020,performance_art_001.jpg,,,Batad,"Ifugao, from CCP Encyclopedia volume 2 ",,Performed during village feasts and religious ritual involving sarcificial animals,ritual dance,Ifugao,16.84124178,121.2396641,CCP Encyclopedia,,Image;StillImage,image/jpeg,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll021,,https://www.youtube.com/watch?v=2UCiLMIqbcs,,Tadek,"Ifugao, from CCP Encyclopedia volume 2 ",,Depicting a rooster and a hen a-courting,ritual dance,Ifugao,16.84124178,121.2396641,CCP Encyclopedia,,Video ,,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll023,,https://www.youtube.com/watch?v=FJOsv46ldts,,Idaw,"Ifugao, from CCP Encyclopedia volume 2 ",,"It is a war dance, depicting a battle between two tribes in the Cordilleras",ritual dance,Ifugao,16.84124178,121.2396641,CCP Encyclopedia,,Video ,,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll024,,https://www.youtube.com/watch?v=rvkIq05TVXk,,Dinuyya,"Ifugao, from CCP Encyclopedia volume 2 ",,Perfromed by any number of men and women during major feasts in the municipality,ritual dance,Ifugao,16.84124178,121.2396641,CCP Encyclopedia,,Video ,,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll025,,https://www.youtube.com/watch?v=X_6TY1SbpZI,,Bangibang,"Ifugao, from CCP Encyclopedia volume 2 ",,"When a warrior is killed, the bangibang is performed during his burial",ritual dance,Ifugao,16.84124178,121.2396641,CCP Encyclopedia,,Video ,,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll026,,https://www.youtube.com/watch?v=oYnht4cX7Ww,,Ton'ak,"Ifugao, from CCP Encyclopedia volume 2 ",,Is a ritual dance feast sponsored by kandungyan. It is performed in the rice granary,ritual dance,Ifugao,16.84124178,121.2396641,CCP Encyclopedia,,Video,,eng,Public domain,In Copyright - Educational Use Permitted | Rights Statements
coll027,,https://www.youtube.com/watch?v=qDImhwTKMOk&t=12s,,Hudhud Chants,Ifugao; UNESCO,,"The Hudhud consists of narrative chants traditionally performed by the Ifugao community, which is well known for its rice terraces extending over the highlands of the northern island of the Philippine archipelago. It is practised during the rice sowing season, at harvest time and at funeral wakes and rituals. Thought to have originated before the seventh century, the Hudhud comprises more than 200 chants, each divided into 40 episodes. A complete recitation may last several days.",oral literature,Ifugao,16.84124178,121.2396641,UNESCO; https://ich.unesco.org/en/RL/hudhud-chants-of-the-ifugao-00015,,Video,,eng,Public domain,http://rightsstatements.org/vocab/InC/1.0/
coll028,literature_002.jpg,,,Kids Singing Hudhud ,Renato S. Rastrollo; NCCA -ICH; UNESCO,,Kids performing hudhud chants,kids; chanting,Ifugao,16.84124178,121.2396641,UNESCO; https://ich.unesco.org/en/RL/hudhud-chants-of-the-ifugao-00015,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/InC/1.0/
coll029,literature_003.jpg,,,Hudhud Chants during the Rice Sowing Season,Renato S. Rastrollo; NCCA -ICH; UNESCO,,Hudhud being practiced during the rice sowing season at harvest time. ,rice field; people chanting,Ifugao,16.84124178,121.2396641,UNESCO; https://ich.unesco.org/en/RL/hudhud-chants-of-the-ifugao-00015,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/InC/1.0/
coll030,population.png,,,Population of Ifugao Province,Charles Epino,"June 10, 2022",A map showing the 2020 census population data of Ifugao province,map,Ifugao,16.84124178,121.2396641,"Philippine Statistics Authority, Database of Global Administrative Boundaries",,Image;StillImage,image/png,en,Public domain,In Copyright - Educational Use Permitted | Rights Statements
